name,Michelin stars,year,latitude,longitude,city,region,zipCode,cuisine,price,url,price_str,age_of_recognition,geo_group,cuisine_group,has_url,price_numeric
Hand and Flowers,2,2019-01-01,51.57031,-0.78113,Marlow,United Kingdom,SL7 2BP,Modern British,Not Specified,https://guide.michelin.com/gb/en/buckinghamshire/marlow/restaurant/hand-and-flowers,Not Specified,4,North-West,Modern British,1,
Hansikgonggan,1,2019-01-01,37.577705,126.98852,Seoul,South Korea,Unknown,Korean,3,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/hansikgonggan,3,4,North-East,Korean,1,3.0
Harbor House,1,2019-01-01,39.135876,-123.719444,San Francisco,California,Unknown,Californian,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/harbor-house,4,4,North-West,Californian,1,4.0
Harwood Arms,1,2019-01-01,51.48291,-0.19651,Fulham,United Kingdom,SW6 1QP,Modern British,Not Specified,https://guide.michelin.com/gb/en/greater-london/fulham/restaurant/harwood-arms,Not Specified,4,North-West,Modern British,1,
Hashiri,1,2019-01-01,37.783062,-122.40754,San Francisco,California,94103,Japanese,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/hashiri,4,4,North-West,Japanese,1,4.0
Hayato,1,2019-01-01,34.03311,-118.24265,Los Angeles,California,90001,Japanese,4,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato,4,4,North-West,Japanese,1,4.0
Hélène Darroze at The Connaught,2,2019-01-01,51.5101,-0.1495701,Mayfair,United Kingdom,W1K 2AL,Modern cuisine,Not Specified,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/helene-darroze-at-the-connaught,Not Specified,4,North-West,Modern cuisine,1,
Henne Kirkeby Kro,2,2019-01-01,55.72682,8.242021,Henne,Denmark,6854,Classic cuisine,3,https://guide.michelin.com/dk/en/southern-denmark/henne/restaurant/henne-kirkeby-kro,3,4,North-East,Classic cuisine,1,3.0
Heron & Grey,1,2019-01-01,53.30143,-6.177574,Blackrock,Ireland,Unknown,Modern cuisine,Not Specified,https://guide.michelin.com/ie/en/dun-laoghaire-rathdown/blackrock/restaurant/heron-grey,Not Specified,4,North-West,Modern cuisine,1,
Hide,1,2019-01-01,51.506077,-0.144289,Mayfair,United Kingdom,W1J 7NB,Modern British,Not Specified,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/hide,Not Specified,4,North-West,Modern British,1,
Hill Street Tai Hwa Pork Noodle,1,2018-01-01,1.3052,103.8624,Singapore,Singapore,Unknown,Street Food,1,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/hill-street-tai-hwa-pork-noodle,1,5,North-East,Street Food,1,1.0
Hinds Head,1,2019-01-01,51.51265,-0.69641,Bray,United Kingdom,SL6 2AB,Traditional British,Not Specified,https://guide.michelin.com/gb/en/buckinghamshire/bray/restaurant/hinds-head,Not Specified,4,North-West,Traditional British,1,
Hirohisa,1,2019-01-01,40.72452,-74.003006,New York,New York City,10012,Japanese,3,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/hirohisa,3,4,North-West,Japanese,1,3.0
Ho Hung Kee,1,2019-01-01,22.280058,114.18364,Hong Kong,Hong Kong,Unknown,Noodles and congee,1,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ho-hung-kee,1,4,North-East,Noodles and congee,1,1.0
House,1,2019-01-01,51.94777,-7.7135396,Aird Mhór/Ardmore,Ireland,Unknown,Modern cuisine,Not Specified,https://guide.michelin.com/ie/en/waterford/aird-mhor-ardmore/restaurant/house,Not Specified,4,North-West,Modern cuisine,1,
House of Tides,1,2019-01-01,54.96758,-1.61127,Newcastle upon Tyne,United Kingdom,NE1 3RF,Modern cuisine,Not Specified,https://guide.michelin.com/gb/en/tyne-and-wear/newcastle-upon-tyne/restaurant/house-of-tides,Not Specified,4,North-West,Modern cuisine,1,
HRiSHi,1,2019-01-01,54.35013,-2.91172,Bowness-on-Windermere,United Kingdom,LA23 3NE,Modern cuisine,Not Specified,https://guide.michelin.com/gb/en/cumbria/bowness-on-windermere/restaurant/hrishi,Not Specified,4,North-West,Modern cuisine,1,
Huto,1,2019-01-01,-23.60882,-46.6598,São Paulo - 04080,Sao Paulo,4,Japanese,5,https://guide.michelin.com/br/en/sao-paulo-region/sao-paulo/restaurant/huto,5,4,South-West,Japanese,1,5.0
Hytra,1,2019-01-01,37.95818,23.71895,Athína,Greece,11745,Modern cuisine,5,https://guide.michelin.com/gr/en/attica/athina/restaurant/hytra,5,4,North-East,Modern cuisine,1,5.0
Ichigo Ichie,1,2019-01-01,51.898167,-8.479933,Corcaigh/Cork,Ireland,Unknown,Japanese,Not Specified,https://guide.michelin.com/ie/en/cork/corcaigh-cork/restaurant/ichigo-ichie,Not Specified,4,North-West,Japanese,1,
Ichimura at Uchū,2,2019-01-01,40.721832,-73.99012,New York,New York City,10002,Japanese,4,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ichimura-at-uchu,4,4,North-West,Japanese,1,4.0
Iggy's,1,2018-01-01,1.305986,103.8294,Singapore,Singapore,Unknown,European contemporary,3,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/iggy-s,3,5,North-East,European contemporary,1,3.0
Ikarus,2,2019-01-01,47.79536,13.00695,Salzburg,Austria,5020,Creative,5,https://guide.michelin.com/at/en/salzburg-region/salzburg/restaurant/ikarus,5,4,North-East,Creative,1,5.0
Ikoyi,1,2019-01-01,51.509212,-0.1334389,Saint James's,United Kingdom,SW1Y 4AH,Creative,Not Specified,https://guide.michelin.com/gb/en/greater-london/saint-james-s/restaurant/ikoyi,Not Specified,4,North-West,Creative,1,
IM Teppanyaki & Wine,1,2019-01-01,22.280807,114.19211,Hong Kong,Hong Kong,Unknown,Teppanyaki,2,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/im-teppanyaki-wine,2,4,North-East,Teppanyaki,1,2.0
Imperial Treasure Fine Chinese Cuisine,1,2019-01-01,22.296177,114.170006,Hong Kong,Hong Kong,Unknown,Cantonese,2,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/imperial-treasure-fine-chinese-cuisine,2,4,North-East,Chinese,1,2.0
Imperial Treasure Fine Teochew Cuisine (Orchard),1,2018-01-01,1.3032448,103.8349,Singapore,Singapore,Unknown,Chinese,1,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/imperial-treasure-fine-teochew-cuisine-orchard,1,5,North-East,Chinese,1,1.0
Impromptu by Paul Lee,1,2019-01-01,25.05429,121.524254,Taipei,Taipei,110,Innovative,3,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/impromptu-by-paul-lee,3,4,North-East,Innovative,1,3.0
In Situ,1,2019-01-01,37.785633,-122.40113,San Francisco,California,94103,International,4,https://guide.michelin.com/us/en/california/san-francisco/restaurant/in-situ,4,4,North-West,International,1,4.0
J'AIME by Jean-Michel Lorain,1,2019-01-01,13.718885,100.546326,Bangkok,Thailand,Unknown,French contemporary,3,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/j-aime-by-jean-michel-lorain,3,4,North-East,French,1,3.0
Jaan,1,2018-01-01,1.293184,103.8529,Singapore,Singapore,Unknown,French contemporary,3,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/jaan,3,5,North-East,French,1,3.0
Jade Dragon,3,2019-01-01,22.149137,113.56715,Macau,Macau,Unknown,Cantonese,2,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/jade-dragon,2,4,North-East,Chinese,1,2.0
